source_number,destination_number,is_carting,is_ftl,start_hour,osrm_time,osrm_distance,actual_distance,actual_time,real_actual_time_factor,data
2,109,0,1,14,2.4174,2.516,2.3707,2.1045,1.8887,training
2,109,0,1,15,2.424,2.5133,2.3754,2.2031,1.9544,training
2,109,0,1,19,2.4174,2.511,2.3744,2.5925,2.2352,training
2,109,0,1,20,2.4226,2.5119,2.3754,2.5495,2.2007,training
2,225,0,1,13,1.5444,1.6412,1.6322,1.8314,2.4143,training
2,225,0,1,14,1.5444,1.6394,1.6304,1.8238,2.4066,training
2,225,0,1,15,1.5444,1.6383,1.6292,1.6519,2.2327,training
2,225,0,1,16,1.5532,1.6362,1.6266,1.8027,2.3749,training
2,225,0,1,19,1.5482,1.6372,1.6286,1.843,2.4218,training
2,264,1,0,0,-0.3961,-0.383,-0.399,-0.4013,2.7727,training
2,264,1,0,1,-0.3816,-0.367,-0.3855,-0.3696,2.9747,training
2,264,1,0,2,-0.3777,-0.3628,-0.3832,-0.3911,2.56,training
2,264,1,0,3,-0.3803,-0.366,-0.3843,-0.4004,2.4591,training
2,264,1,0,4,-0.3943,-0.375,-0.3885,-0.4282,2.2943,training
2,264,1,0,5,-0.3908,-0.3693,-0.3822,-0.419,2.3478,training
2,264,1,0,6,-0.3838,-0.3659,-0.3829,-0.4072,2.427,training
2,264,1,0,7,-0.3908,-0.37,-0.3826,-0.4392,2.0,training
2,264,1,0,8,-0.3698,-0.361,-0.3856,-0.0966,6.7222,training
2,264,1,0,9,-0.3908,-0.3689,-0.3814,0.5039,18.2174,training
2,264,1,0,12,-0.3803,-0.3622,-0.3841,-0.3684,2.96,training
2,264,1,0,14,-0.3926,-0.3751,-0.3918,-0.3836,2.975,training
2,264,1,0,15,-0.3809,-0.3646,-0.3843,-0.3501,3.2457,training
2,264,1,0,16,-0.375,-0.3609,-0.3858,-0.3659,2.8846,training
2,264,1,0,19,-0.375,-0.3634,-0.385,-0.3532,3.1022,training
2,264,1,0,20,-0.3882,-0.3708,-0.3868,-0.3491,3.4346,training
2,264,1,0,21,-0.3777,-0.3644,-0.3869,-0.3574,3.0642,training
2,326,1,0,0,-0.354,-0.3456,-0.3537,-0.1636,5.1667,training
2,326,1,0,1,-0.3645,-0.3468,-0.354,-0.3987,2.2143,training
2,326,1,0,2,-0.3566,-0.3467,-0.3563,-0.2603,3.9196,training
2,326,1,0,3,-0.354,-0.3462,-0.3579,-0.2647,3.8333,training
2,326,1,0,4,-0.3698,-0.3524,-0.3538,-0.3861,2.4815,training
2,326,1,0,5,-0.3566,-0.3474,-0.3576,-0.3646,2.558,training
2,326,1,0,8,-0.3593,-0.3481,-0.3567,-0.3911,2.2414,training
2,326,1,0,10,-0.3663,-0.3509,-0.3556,0.0657,8.7122,training
2,326,1,0,11,-0.3672,-0.3469,-0.3592,-0.0018,7.7308,training
2,326,1,0,14,-0.366,-0.3499,-0.3562,-0.2539,4.273,training
2,326,1,0,15,-0.3672,-0.3491,-0.3553,-0.3621,2.7508,training
2,326,1,0,17,-0.375,-0.3521,-0.3551,-0.4316,1.8846,training
2,326,1,0,19,-0.3619,-0.3468,-0.3549,-0.3823,2.3947,training
2,326,1,0,20,-0.3691,-0.3518,-0.3569,-0.3975,2.3251,training
2,326,1,0,21,-0.3487,-0.3461,-0.3605,-0.3633,2.4516,training
2,421,1,0,0,-0.4066,-0.3946,-0.385,-0.467,1.75,training
2,421,1,0,1,-0.3987,-0.3839,-0.3861,-0.4202,2.4913,training
2,421,1,0,5,-0.4066,-0.4009,-0.3995,-0.3102,4.85,training
2,421,1,0,12,-0.4048,-0.3863,-0.3843,-0.3684,3.6214,training
2,421,1,0,13,-0.4119,-0.3898,-0.3891,-0.4392,2.4211,training
2,421,1,0,15,-0.404,-0.3874,-0.3866,-0.1585,7.7881,training
2,421,1,0,20,-0.4224,-0.3959,-0.3915,-0.4594,2.2353,training
2,421,1,0,21,-0.4013,-0.3866,-0.3867,-0.4367,2.2381,training
2,421,1,0,22,-0.4066,-0.3876,-0.3875,-0.4493,2.1,training
2,421,1,0,23,-0.4013,-0.3862,-0.3851,-0.3836,3.2381,training
2,564,1,0,0,-0.3435,-0.3114,-0.2917,-0.199,4.4062,training
2,564,1,0,1,-0.3487,-0.3125,-0.2911,-0.2179,4.3562,training
2,564,1,0,2,-0.3452,-0.3114,-0.2924,-0.3279,2.8296,training
2,564,1,0,4,-0.3593,-0.3196,-0.2971,-0.3583,2.6897,training
2,564,1,0,6,-0.3505,-0.3136,-0.2918,-0.3591,2.5181,training
2,564,1,0,11,-0.3435,-0.3106,-0.2908,-0.3456,2.5938,training
2,564,1,0,13,-0.3566,-0.3189,-0.2968,-0.2445,4.169,training
2,564,1,0,14,-0.3496,-0.3146,-0.2932,-0.3022,3.2237,training
2,564,1,0,18,-0.3435,-0.3102,-0.2885,-0.3937,2.0,training
2,564,1,0,19,-0.3461,-0.3118,-0.2911,-0.3418,2.6754,training
2,564,1,0,20,-0.3382,-0.3049,-0.289,-0.3524,2.4274,training
