hub_name,hub_number,bottleneck_score,delay_ratio,delay_hours,sla_breach,sla_breach_contribution,betweenness_centrality,closeness_centrality,degree_centrality
Bangana_Bhaleti_D (Himachal Pradesh),45,0.06183,1.0609284332688589,0.0,0.0,0.002632067602303809,0.0,0.11878546210181785,0.0012812299807815502
Nadaun_Ward6_D (Himachal Pradesh),46,0.070607,0.9910164271047228,3.0519,0.0,0.09712096526164568,0.0008122669557647136,0.0008541533205210334,0.0012812299807815502
Balotra_BsnoiHPL_D (Rajasthan),47,0.063352,-326.0,0.4605,0.0,0.0,0.00166313507120682,0.08976844103309797,0.0019218449711723253
Pokhran_SttinDPP_D (Rajasthan),48,0.043497,1.0918792295679334,0.0,0.0,0.03619675269008955,0.0,0.07042765750457115,0.0019218449711723253
Phalodi_PalikDPP_D (Rajasthan),49,0.093207,0.4568540433925049,8.0082,0.0,0.08546067285710333,0.0016187848026413048,0.07898247707938442,0.0032030749519538753
Mehsana_Panchot_IP (Gujarat),50,0.130087,1.1329568788501028,0.4095,0.0,0.0,0.008587526076315313,0.11910802715671112,0.006406149903907751
Unjha_DC (Gujarat),51,0.115571,0.9781363872982822,0.0,0.0,0.4875660660614495,0.001247967279357414,0.10071380718378396,0.0012812299807815502
Patan_Central_D_2 (Gujarat),52,0.086182,1.0828989823777613,0.08120000000000002,0.0,0.06773497865043786,0.001236879712216035,0.08724092246864988,0.0019218449711723253
Bhabhar_TirupDPP_D (Gujarat),53,0.04407,0.21883587309517863,0.0,0.0,0.0011832657893542792,0.0,0.07695634077370993,0.0012812299807815502
AMD_Memnagar (Gujarat),54,0.111977,1.1020301926080167,0.18029999999999996,0.0,0.0,0.0,0.11844536584266625,0.0012812299807815502
Aluva_Peedika_H (Kerala),55,0.173099,0.9040599179694467,3.7238,0.0,0.19482424636450904,0.019446360814073818,0.1332749552656172,0.011531069827033951
Cochin_Chtrpuza_D (Kerala),56,0.059131,0.8508589276418533,0.0,0.0,0.01589023467514742,0.00041639974375400383,0.11064167283744111,0.0012812299807815502
Pune_Tathawde_H (Maharashtra),57,0.286747,0.885188912267862,29.5979,0.0,0.005427183640148562,0.04220499063169562,0.1561707473912296,0.02626521460602178
