,source_number,destination_number,osrm_time,osrm_distance
56,4,323,219.1,292.21352
57,4,413,20.357142857142858,15.956169047619047
58,4,451,182.66666666666666,203.78147777777778
59,4,459,34.333333333333336,29.170333333333335
60,4,790,137.22222222222223,166.5396
61,4,807,117.7,146.24255
62,4,900,29.636363636363637,30.065490909090908
63,4,1135,151.0,191.4271
64,4,1509,29.666666666666668,29.963583333333332
65,4,1519,43.0,39.636849999999995
66,5,4,56.75903614457831,46.90679879518072
67,5,39,31.32,26.918924
68,5,55,431.92857142857144,471.98351428571425
69,5,90,22.61904761904762,20.889261904761906
70,5,91,57.24691358024691,53.1696938271605
71,5,112,21.77777777777778,19.061555555555557
72,5,127,36.6551724137931,32.40495172413793
73,5,241,33.42857142857143,32.27354285714286
74,5,299,16.0,16.3424
75,5,459,30.416666666666668,27.915704166666668
76,5,731,167.75,198.24595
77,5,900,21.75,19.011475
78,5,1011,68.5,70.964175
79,5,1509,21.0,19.4741
80,5,1622,432.0,471.0635
81,6,7,33.93333333333333,44.57762666666667
82,6,18,10.0,13.35745
83,7,8,35.666666666666664,24.021591666666666
84,7,18,40.0,54.4594
85,8,18,56.54545454545455,59.876363636363635
86,9,10,56.0,79.806
87,9,630,83.57142857142857,103.46017142857143
88,9,1027,24.9,35.58229
89,9,1252,22.625,32.55085
90,10,11,34.63636363636363,47.30940909090909
91,11,12,27.416666666666668,38.58269166666667
92,12,13,61.25,71.7917125
93,13,9,66.875,67.8411
94,14,15,140.4,163.89341
95,14,16,180.0,196.1742
96,14,30,95.95945945945945,94.65336351351351
97,14,102,57.166666666666664,49.70806666666667
98,14,176,129.92307692307693,181.9494923076923
99,14,214,159.07692307692307,201.5221076923077
100,14,316,35.5,39.916349999999994
101,14,473,121.53333333333333,153.65634666666665
102,14,495,47.57142857142857,62.82644285714286
103,14,563,140.33333333333334,163.4462
104,14,617,95.5,117.88578
105,14,652,95.2,128.91038666666665
106,14,970,42.8,37.45632
107,14,1180,46.0,59.6565
108,14,1291,55.0,66.01393333333334
109,14,1311,73.0,89.5733
110,14,1350,212.0,245.6096
111,14,1582,22.0,24.9115
112,16,14,178.6153846153846,194.9123
113,16,566,26.09090909090909,21.14078181818182
114,16,804,57.84615384615385,75.6168
115,17,4,249.9090909090909,322.32440909090906
116,17,5,236.07692307692307,314.55665384615384
117,17,66,598.5,814.08745
118,17,109,485.8,678.18582
119,17,135,134.83333333333334,152.53498333333332
120,17,259,28.166666666666668,32.62455833333333
