data,source_number,destination_number,is_carting,is_ftl,day_of_week,start_hour,is_day,is_night,is_cutoff,osrm_time,osrm_distance,actual_distance,actual_time,real_actual_time_factor
training,102,747,1,0,6,2,0,1,0,23.0,24.7317,17.991939079690997,44.0,1.9130434782608696
training,103,87,1,0,0,5,0,1,0,42.0,39.2136,9.40565776403261,47.0,1.119047619047619
training,104,2,1,0,6,22,0,1,0,22.0,23.8301,16.372774792351876,48.0,2.1818181818181817
training,102,105,1,0,1,6,0,1,0,19.0,17.0411,14.135872091201389,53.0,2.789473684210526
training,105,102,1,0,1,11,1,0,0,18.0,20.348,14.283302496967044,30.0,1.6666666666666667
training,92,430,1,0,1,21,0,1,0,21.0,20.8342,16.26938591332918,69.0,3.2857142857142856
training,106,107,1,0,3,1,0,1,0,59.0,62.9882,49.13594533277772,88.0,1.4915254237288136
training,107,106,1,0,3,2,0,1,0,60.0,63.7012,49.09764249599084,91.0,1.5166666666666666
training,108,85,1,0,2,6,0,1,0,22.0,28.1662,20.41029955468776,52.0,2.363636363636364
training,109,794,1,0,4,17,1,0,0,30.0,35.5631,27.448351350647965,85.0,2.833333333333333
training,57,873,1,0,6,1,0,1,0,13.0,11.5841,9.266528702418084,60.0,4.615384615384615
training,109,110,1,0,3,20,0,1,0,30.0,34.0801,29.157778471835314,46.0,1.5333333333333334
training,110,1486,1,0,3,23,0,1,0,30.0,33.2229,27.85255272487064,167.0,5.566666666666666
training,111,14,1,0,5,13,1,0,0,56.0,44.6605,41.40495541171355,175.0,3.125
training,92,251,1,0,5,22,0,1,0,29.0,30.064400000000003,20.160371677366463,98.0,3.3793103448275863
training,112,4,1,0,1,6,0,1,0,33.0,25.489,20.688997380862403,82.0,2.484848484848485
training,113,114,0,1,5,20,0,1,0,50.0,68.516,53.844436485885,111.0,2.22
training,114,115,0,1,6,0,0,1,0,24.0,26.1799,24.87039371112261,42.0,1.75
training,115,116,0,1,6,3,0,1,0,33.0,33.0123,26.86341371693082,66.0,2.0
training,116,113,0,1,6,5,0,1,0,76.0,107.2922,93.08563252869996,685.0,9.013157894736842
training,99,122,1,0,4,5,0,1,0,18.0,18.6372,14.978999997913125,73.0,4.055555555555555
training,122,123,1,0,4,6,0,1,0,10.0,11.0907,10.348536762055817,33.0,3.3
training,123,99,1,0,4,8,1,0,0,30.0,31.1196,25.57357004623483,113.0,3.7666666666666666
training,124,125,1,0,2,23,0,1,0,38.0,32.772400000000005,30.989926478085778,88.0,2.3157894736842106
training,125,44,1,0,3,2,0,1,0,20.0,14.6486,12.383317918268602,25.0,1.25
training,44,125,1,0,3,3,0,1,0,14.0,13.5381,13.468918572390974,42.0,3.0
training,125,124,1,0,3,4,0,1,0,35.0,31.8155,30.09765274094712,107.0,3.057142857142857
training,102,105,1,0,0,18,1,0,0,22.0,19.4113,14.783736633904132,41.0,1.8636363636363635
training,17,638,1,0,5,18,1,0,0,30.0,34.488699999999994,29.95731365523877,69.0,2.3
training,91,127,1,0,6,3,0,1,0,35.0,30.7746,23.986590355295675,50.0,1.4285714285714286
training,127,241,1,0,6,4,0,1,0,16.0,16.8688,11.923676417346186,28.0,1.75
training,2,104,1,0,1,17,1,0,0,21.0,23.8076,16.66626048387301,37.0,1.761904761904762
