source_number,destination_number,is_carting,is_ftl,start_hour,osrm_time,osrm_distance,actual_distance,actual_time,real_actual_time_factor,data
2,643,1,0,21,31.0,42.1981,36.22902725332552,90.0,2.903225806451613,training
2,643,1,0,23,29.0,40.7302,35.65551607935653,53.0,1.827586206896552,training
2,760,1,0,0,28.0,40.168,34.67986948339483,75.0,2.6785714285714284,training
2,760,1,0,1,31.4,43.04954,37.04947281133137,89.6,2.8578629032258065,training
2,872,0,1,15,97.4,136.41382,115.21953978967579,175.2,1.7986200713709877,training
2,872,0,1,16,98.125,137.8423125,115.89187099903425,172.0,1.75248588610702,training
2,872,0,1,18,98.0,137.0505,115.89504390153029,167.0,1.7040816326530612,training
2,897,1,0,0,25.0,28.811,16.88249868385982,61.0,2.44,training
2,897,1,0,5,24.0,27.6744,16.30898791038535,70.0,2.9166666666666665,training
2,897,1,0,7,27.0,29.6053,16.287219491626967,59.0,2.185185185185185,training
2,897,1,0,19,27.0,29.739,16.39276035157039,74.0,2.740740740740741,training
2,950,0,1,19,67.0,89.0326,68.06649662662495,164.0,2.4477611940298507,training
2,950,0,1,21,67.0,89.70465,68.2512610383897,164.5,2.451175330924563,training
2,950,0,1,22,66.75,88.8135,67.83957350580062,180.0,2.6965174129353233,training
2,1122,1,0,0,29.5,33.327349999999996,22.690273876229785,187.0,6.286781609195403,training
2,1122,1,0,1,27.0,32.02063333333333,22.589380213996137,78.0,2.872679045092838,training
2,1122,1,0,2,29.0,32.887800000000006,22.629726874347543,65.0,2.2413793103448274,training
2,1122,1,0,4,23.0,28.9821,21.42281372838341,72.0,3.130434782608696,training
2,1122,1,0,5,26.0,31.4658,22.41488065834229,52.0,2.0,training
2,1122,1,0,8,29.0,33.048,22.509717324559027,71.5,2.4655172413793105,training
2,1122,1,0,11,26.0,30.4065,20.63643349134152,152.0,5.846153846153846,training
2,1122,1,0,15,28.0,32.644400000000005,22.78350762371404,125.0,4.464285714285714,training
2,1122,1,0,19,28.333333333333332,33.2465,22.802187593624495,53.333333333333336,1.8645502645502645,training
2,1122,1,0,20,27.4,32.60414,23.08444934887465,53.6,1.9523276212931386,training
2,1122,1,0,21,29.0,33.397,23.111515694535303,57.0,1.9655172413793105,training
2,1122,1,0,23,29.0,32.8961,22.647057543996304,58.0,2.0,training
2,1335,1,0,1,21.666666666666668,27.4166,21.954209148838373,78.66666666666667,3.619047619047619,training
2,1335,1,0,2,23.5,27.611800000000002,21.119139002322193,118.0,4.98731884057971,training
2,1335,1,0,12,23.0,27.8402,21.4093586799088,56.0,2.4347826086956523,training
2,1335,1,0,14,21.0,26.4208,21.27404171242546,53.5,2.5636363636363635,training
2,1335,1,0,15,22.0,27.1291,21.4598935226808,50.0,2.272727272727273,training
2,1335,1,0,19,24.0,28.3477,22.348316895623505,58.0,2.4166666666666665,training
2,1335,1,0,20,21.75,26.97295,21.351251402403847,44.0,2.016407867494824,training
2,1335,1,0,22,22.0,27.3854,21.866948296812488,44.0,2.0,training
2,1336,1,0,0,22.0,27.3568,21.656518101728707,40.0,1.818181818181818,training
2,1336,1,0,1,22.0,26.7389,21.805265538065225,57.0,2.590909090909091,training
2,1336,1,0,2,21.5,26.796750000000003,21.47103614294462,64.0,2.9610389610389607,training
2,1336,1,0,3,24.0,29.5076,21.998332055094703,127.0,5.291666666666667,training
2,1336,1,0,8,16.0,21.9663,17.75128851458331,64.0,4.0,training
2,1336,1,0,14,22.2,27.1469,21.320854881840077,80.2,3.531884057971014,training
2,1336,1,0,15,23.0,27.5702,21.39435831253872,79.0,3.4347826086956523,training
2,1336,1,0,16,20.0,25.729,21.009429862103328,60.0,3.0,training
2,1336,1,0,18,21.0,26.4603,21.14726474004007,38.0,1.809523809523809,training
2,1336,1,0,19,23.25,28.1033,21.67793069934016,63.75,2.7136438923395447,training
2,1336,1,0,21,22.5,27.750799999999998,21.429504768175008,42.0,1.8656126482213438,training
3,85,1,0,16,14.0,16.1156,14.584522885646702,57.0,4.071428571428571,training
3,85,1,0,17,15.0,16.563933333333335,15.021865019558666,38.333333333333336,2.5442460317460314,training
3,85,1,0,18,14.833333333333334,16.6424,14.99657460947026,35.5,2.4061157796451913,training
3,85,1,0,19,15.0,16.8997,15.287084118885163,29.0,1.9333333333333331,training
3,263,1,0,14,18.0,19.6937,16.305476559121825,76.0,4.222222222222222,training
3,263,1,0,15,17.125,19.6370875,16.45894607145393,64.75,3.780024509803922,training
3,263,1,0,16,17.625,19.5965125,16.452827795480445,61.875,3.5154583763329894,training
3,263,1,0,17,17.5,19.410883333333334,16.19746957690248,47.666666666666664,2.715482026143791,training
3,263,1,0,18,19.125,21.231275,17.465958920630055,44.5,2.3309576023391814,training
3,263,1,0,19,19.0,20.02775,16.2719958783251,43.5,2.2861111111111114,training
3,263,1,0,20,16.0,16.025100000000002,13.723701802325566,30.0,1.875,training
4,2,0,1,17,730.0,978.7564,830.8072006356044,1310.0,1.7945205479452055,training
4,2,0,1,19,729.0,978.2447999999999,829.8088404252928,1267.0,1.7379162534787755,training
4,2,0,1,21,727.5,976.60985,829.7841867914491,1207.5,1.659836297883436,training
4,2,0,1,22,725.5,975.3029,829.5805673187742,1224.5,1.6877771444856084,training
4,5,0,1,1,47.0,48.3666,37.880015635366966,74.0,1.574468085106383,training
4,5,0,1,2,53.0,52.174566666666664,40.21186427955578,79.33333333333333,1.4945533769063182,training
4,5,0,1,10,51.0,50.75945714285715,39.49158693022996,114.42857142857143,2.263987408680154,training
4,5,0,1,11,51.333333333333336,50.7585,39.68123827664914,80.0,1.5558120606733261,training
4,5,0,1,12,48.75,50.208925,38.924679471097676,81.75,1.6739069920421,training
4,5,0,1,13,49.0,49.1137,38.75534826160322,74.0,1.510204081632653,training
4,5,0,1,16,55.0,53.237899999999996,40.60648833632537,69.5,1.2636363636363637,training
4,5,0,1,17,49.5,50.354749999999996,39.73985926556862,69.5,1.4019607843137254,training
4,5,0,1,18,55.0,53.1235,40.54042435223349,60.0,1.0909090909090908,training
4,5,0,1,19,49.0,50.4711,39.88519221439356,75.0,1.530612244897959,training
4,5,0,1,20,52.5,51.80566666666667,39.99958964594783,71.5,1.3612206274734022,training
4,5,0,1,21,45.0,46.8813,36.37106202561337,65.0,1.4444444444444444,training
4,5,0,1,22,48.0,49.5231,38.90416498586638,87.0,1.8125,training
4,5,0,1,23,51.5,50.378,38.84214626426574,75.5,1.4699540655423007,training
4,5,1,0,0,52.0,51.30955,39.86149346588341,89.0,1.7044444444444444,training
4,5,1,0,1,51.333333333333336,50.55733333333333,39.49898900307311,90.66666666666667,1.7691749907510175,training
4,5,1,0,2,50.0,49.7211,39.29003836800406,103.5,2.0700000000000003,training
4,5,1,0,3,51.5,50.875275,39.8746601787022,97.25,1.9007122507122507,training
4,5,1,0,4,51.0,50.85588,39.9027093901422,116.4,2.284102564102564,training
